Strain,Fostamatinib,Fostamatinib,Balsalazide,Neoprontosil,Olsalazine,Prontosil,Sulfasalazine,Balsalazide,Neoprontosil,Olsalazine,Prontosil,Sulfasalazine,Lactulose,Lactulose,Sorivudine,brivudine,Statins,Tempol (indirect effect),"Gemcitabine (2′,2′-difluorodeoxycytidine)","Gemcitabine (2′,2′-difluorodeoxycytidine)",Digoxin,Digitoxin,5-Fluorocytosine,5-Fluorocytosine,5-Fluorouracil,5-Fluorouracil,5-Fluorouracil,Paracetamol (indirect effect),L-dopa,L-Dopa,5-aminosalicylic acid,5-aminosalicylic acid,Nitrazepam,Nitrobenzodiazepine,Chloramphenicol,Nitrazepam,Nitrobenzodiazepine,Chloramphenicol,Clonazepam,Indomethazin,"Irinotecan (Camptosar, Camptothecin-11, CPT-11)",Ketoprofen,Lovastatin,Diclofenac,Morphine 6-glucuronide,Indomethazin,"Irinotecan (Camptosar, Camptothecin-11, CPT-11)",Ketoprofen,Lovastatin,Diclofenac,Morphine 6-glucuronide
Abiotrophia defectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acaricomes phytoseiuli,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrio cellulolyticus,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acetonema longum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter insuavis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus fermentans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus intestini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
