,,Unique,Unique-values,use case from drugbank,
5-aminosalicylic acid,,,5-aminosalicylic acid / Mesalamine,antiinflammatory,
5-fluoro-2'-deoxyuridine,,,5-fluoro-2'-deoxyuridine,anticancer,
5-fluorocytosine,,,5-fluorocytosine,antifungal,
5-fluorocytosine,,,5-fluorouracil,anticancer,
5-fluorouracil,,,6-Mercaptopurine-2′-deoxyriboside,anticancer,
5-fluorouracil,,,Abacavir Sulfate,antiviral,
5-fluorouracil,,,Acecainide,antiarrhythmic ,
5-fluorouracil,,,Acenocoumarol,anticoagulant drug,
5-fluorouracil,,,Acetopromazine maleate salt,antipsychotropic ,"(not used in humans), sedative and antiemetic (animals)"
5-fluorouracil,,,Actinomycin,anti-cancer,
5-fluorouracil,,,Adalimumab,anticancer,
5-fluorouracil,,,Albendazole,anthelmintic,
5-fluorouracil,,,Alexidine dihydrochloride,anti-microbial,
5-fluorouracil,,,Alfacalcidol,vitamin D ,
5-fluorouracil,,,Alfuzosin,BPH,
5-fluorouracil,,,Altretamine,anticancer,
5-fluorouracil,,,Alverine citrate salt,smooth muscle relaxant,
5-fluorouracil,,,Amantadine,"antiviral, Parkinson disese",
5-fluorouracil,,,Amethopterin / Methotrexate,anticancer,
5-fluorouracil,,,Amikacin hydrate,antibiotic,
5-fluorouracil,,,Amiodarone,antiarrhythmic,
5-fluorouracil,,Amiodarone hydrochloride,Amiodarone hydrochloride,antiarrhythmic,
5-fluorouracil,,Amlodipine,Amlodipine,hypertension and angina,
5-fluorouracil,,Amodiaquin dihydrochloride dihydrate,Amodiaquin dihydrochloride dihydrate,antimalarial,
5-fluorouracil,,Amoxapine,Amoxapine,antipsychotic agent,
5-fluorouracil,,Amoxicillin,Amoxicillin,antibiotic,
5-fluorouracil,,Amoxicillin plus metronidazole,Amoxicillin plus metronidazole,antibiotic,
5-fluorouracil,,Ampicillin trihydrate,Ampicillin trihydrate,antibiotic,
5-fluorouracil,,Anagrelide,Anagrelide,antiplatelet,
5-fluorouracil,,Anastrozole,Anastrozole,anticancer-breast,
5-fluorouracil,,Anethole-trithione,Anethole-trithione,dry mouth- bile secretion-stimulating drug,
5-fluorouracil,,Anthralin,Anthralin,psoriasis,
6-Mercaptopurine-2′-deoxyriboside,,Aprepitant,Aprepitant,antiemetic,
Abacavir Sulfate,,AQ4N,AQ4N,anticancer,
ACE inhibitors,,Ara G hydrate,Ara G hydrate,antineoplastic and antimetabolite,
Acecainide,,Aripiprazole,Aripiprazole,antipsychotic,
Acecainide,,Asenapine maleate,Asenapine maleate,antipsychotic,
Acenocoumarol,,Aspirin,Aspirin,NSAIDs,
Acenocoumarol,,Astemizole,Astemizole,antihistamine,
